"date","price","volume","type","year","region"
"2/7/16",0.76,722.211,"conventional",2016,"Atlanta"
"2/14/16",0.97,481.484,"conventional",2016,"Atlanta"
"2/21/16",1.04,417.206,"conventional",2016,"Atlanta"
"2/28/16",0.9,555.471,"conventional",2016,"Atlanta"
"3/6/16",1.03,458.837,"conventional",2016,"Atlanta"
"3/13/16",0.9,588.657,"conventional",2016,"Atlanta"
"3/20/16",0.98,496.191,"conventional",2016,"Atlanta"
"3/27/16",0.98,458.635,"conventional",2016,"Atlanta"
"4/3/16",1.03,423.486,"conventional",2016,"Atlanta"
"4/10/16",0.83,590.002,"conventional",2016,"Atlanta"
"4/17/16",0.89,512.348,"conventional",2016,"Atlanta"
"4/24/16",0.79,654.019,"conventional",2016,"Atlanta"
"5/1/16",0.77,735.635,"conventional",2016,"Atlanta"
"5/8/16",0.81,643.7,"conventional",2016,"Atlanta"
"5/15/16",0.68,755.307,"conventional",2016,"Atlanta"
"5/22/16",0.79,585.352,"conventional",2016,"Atlanta"
"5/29/16",0.78,691.344,"conventional",2016,"Atlanta"
"6/5/16",0.75,691.201,"conventional",2016,"Atlanta"
"6/12/16",0.78,608.386,"conventional",2016,"Atlanta"
"6/19/16",0.78,692.767,"conventional",2016,"Atlanta"
"6/26/16",0.85,606.857,"conventional",2016,"Atlanta"
"7/3/16",0.77,789.398,"conventional",2016,"Atlanta"
"7/10/16",0.92,560.865,"conventional",2016,"Atlanta"
"7/17/16",1.01,474.064,"conventional",2016,"Atlanta"
"7/24/16",1,495.687,"conventional",2016,"Atlanta"
"7/31/16",0.98,537.633,"conventional",2016,"Atlanta"
"8/7/16",1.04,508.354,"conventional",2016,"Atlanta"
"8/14/16",0.87,666.493,"conventional",2016,"Atlanta"
"8/21/16",0.94,549.139,"conventional",2016,"Atlanta"
"8/28/16",0.95,539.643,"conventional",2016,"Atlanta"
"9/4/16",0.89,614.657,"conventional",2016,"Atlanta"
"9/11/16",0.9,597.759,"conventional",2016,"Atlanta"
"9/18/16",1.01,527.701,"conventional",2016,"Atlanta"
"9/25/16",1.26,435.757,"conventional",2016,"Atlanta"
"10/2/16",1.26,440.044,"conventional",2016,"Atlanta"
"10/9/16",1.23,452.109,"conventional",2016,"Atlanta"
"10/16/16",1.16,459.565,"conventional",2016,"Atlanta"
"10/23/16",1.23,422.281,"conventional",2016,"Atlanta"
"10/30/16",1.26,408.315,"conventional",2016,"Atlanta"
"11/6/16",1.29,393.826,"conventional",2016,"Atlanta"
"11/13/16",1.25,408.261,"conventional",2016,"Atlanta"
"11/20/16",1.14,448.936,"conventional",2016,"Atlanta"
"11/27/16",1.22,372.144,"conventional",2016,"Atlanta"
"12/4/16",1.03,475.815,"conventional",2016,"Atlanta"
"12/11/16",1.06,422.027,"conventional",2016,"Atlanta"
"12/18/16",0.94,463.483,"conventional",2016,"Atlanta"
"12/25/16",0.91,502.787,"conventional",2016,"Atlanta"
"1/1/17",0.93,547.566,"conventional",2017,"Atlanta"
"1/8/17",0.98,601.546,"conventional",2017,"Atlanta"
"1/15/17",0.99,557.378,"conventional",2017,"Atlanta"
"1/22/17",0.84,755.472,"conventional",2017,"Atlanta"
"1/29/17",0.95,627.696,"conventional",2017,"Atlanta"
"2/5/17",0.83,888.095,"conventional",2017,"Atlanta"
"2/12/17",0.79,666.871,"conventional",2017,"Atlanta"
"2/19/17",0.86,563.019,"conventional",2017,"Atlanta"
"2/26/17",0.85,631.508,"conventional",2017,"Atlanta"
"3/5/17",1.08,511.363,"conventional",2017,"Atlanta"
"3/12/17",1.21,469.278,"conventional",2017,"Atlanta"
"3/19/17",1.25,460.991,"conventional",2017,"Atlanta"
"3/26/17",1.32,443.515,"conventional",2017,"Atlanta"
"4/2/17",1.26,481.934,"conventional",2017,"Atlanta"
"4/9/17",1.23,465.35,"conventional",2017,"Atlanta"
"4/16/17",1.15,543.228,"conventional",2017,"Atlanta"
"4/23/17",1.21,530.031,"conventional",2017,"Atlanta"
"4/30/17",1.17,595.54,"conventional",2017,"Atlanta"
"5/7/17",1.1,726.727,"conventional",2017,"Atlanta"
"5/14/17",1.18,568.924,"conventional",2017,"Atlanta"
"5/21/17",1.2,526.84,"conventional",2017,"Atlanta"
"5/28/17",1.23,523.994,"conventional",2017,"Atlanta"
"6/4/17",1.08,710.039,"conventional",2017,"Atlanta"
"6/11/17",1.13,572.839,"conventional",2017,"Atlanta"
"6/18/17",1.2,492.836,"conventional",2017,"Atlanta"
"6/25/17",1.12,501.274,"conventional",2017,"Atlanta"
"7/2/17",1.16,528.298,"conventional",2017,"Atlanta"
"7/9/17",1.19,507.338,"conventional",2017,"Atlanta"
"7/16/17",1.2,582.069,"conventional",2017,"Atlanta"
"7/23/17",1.24,518.683,"conventional",2017,"Atlanta"
"7/30/17",1.34,472.013,"conventional",2017,"Atlanta"
"8/6/17",1.36,518.14,"conventional",2017,"Atlanta"
"8/13/17",1.37,534.059,"conventional",2017,"Atlanta"
"8/20/17",1.43,475.922,"conventional",2017,"Atlanta"
"8/27/17",1.49,458.036,"conventional",2017,"Atlanta"
"9/3/17",1.53,433.455,"conventional",2017,"Atlanta"
"9/10/17",1.54,466.989,"conventional",2017,"Atlanta"
"9/17/17",1.59,392.935,"conventional",2017,"Atlanta"
"9/24/17",1.5,403.78,"conventional",2017,"Atlanta"
"10/1/17",1.55,421.235,"conventional",2017,"Atlanta"
"10/8/17",1.6,411.52,"conventional",2017,"Atlanta"
"10/15/17",1.64,406.111,"conventional",2017,"Atlanta"
"10/22/17",1.49,406.009,"conventional",2017,"Atlanta"
"10/29/17",1.28,493.921,"conventional",2017,"Atlanta"
"11/5/17",1.08,567.573,"conventional",2017,"Atlanta"
"11/12/17",1.11,518.209,"conventional",2017,"Atlanta"
"11/19/17",1.13,453.755,"conventional",2017,"Atlanta"
"11/26/17",1.12,412.213,"conventional",2017,"Atlanta"
"12/3/17",1.07,504.933,"conventional",2017,"Atlanta"
"12/10/17",0.99,543.619,"conventional",2017,"Atlanta"
"12/17/17",1,484.327,"conventional",2017,"Atlanta"
"12/24/17",1.11,444.782,"conventional",2017,"Atlanta"
"12/31/17",0.95,649.353,"conventional",2017,"Atlanta"
"1/7/18",0.98,713.916,"conventional",2018,"Atlanta"
"1/14/18",1.1,670.766,"conventional",2018,"Atlanta"
"1/21/18",1.1,639.421,"conventional",2018,"Atlanta"
"1/28/18",1.08,559.46,"conventional",2018,"Atlanta"
"2/4/18",0.86,957.792,"conventional",2018,"Atlanta"
"2/11/18",0.87,723.928,"conventional",2018,"Atlanta"
"2/18/18",1.04,538.448,"conventional",2018,"Atlanta"
"2/25/18",1.06,586.24,"conventional",2018,"Atlanta"
"3/4/18",1.08,594.552,"conventional",2018,"Atlanta"
"3/11/18",0.96,695.821,"conventional",2018,"Atlanta"
"3/18/18",0.95,730.45,"conventional",2018,"Atlanta"
"3/25/18",1.04,624.645,"conventional",2018,"Atlanta"
"1/4/15",1.76,3.847,"organic",2015,"Atlanta"
"1/11/15",1.84,3.744,"organic",2015,"Atlanta"
"1/18/15",1.86,4.294,"organic",2015,"Atlanta"
"1/25/15",1.87,3.047,"organic",2015,"Atlanta"
"2/1/15",1.44,7.666,"organic",2015,"Atlanta"
"2/8/15",1.29,13.288,"organic",2015,"Atlanta"
"2/15/15",1.46,7.783,"organic",2015,"Atlanta"
"2/22/15",1.38,10.97,"organic",2015,"Atlanta"
"3/1/15",1.22,16.228,"organic",2015,"Atlanta"
"3/8/15",1.22,16.027,"organic",2015,"Atlanta"
"3/15/15",1.19,13.986,"organic",2015,"Atlanta"
"3/22/15",1.62,6.484,"organic",2015,"Atlanta"
"3/29/15",1.88,5.077,"organic",2015,"Atlanta"
"4/5/15",1.74,5.559,"organic",2015,"Atlanta"
"4/12/15",1.79,6.687,"organic",2015,"Atlanta"
"4/19/15",1.63,6.705,"organic",2015,"Atlanta"
"4/26/15",2.01,4.447,"organic",2015,"Atlanta"
"5/3/15",2.03,3.976,"organic",2015,"Atlanta"
"5/10/15",1.82,5.068,"organic",2015,"Atlanta"
"5/17/15",1.78,5.158,"organic",2015,"Atlanta"
"5/24/15",1.74,5.464,"organic",2015,"Atlanta"
"5/31/15",1.84,4.803,"organic",2015,"Atlanta"
"6/7/15",1.74,4.096,"organic",2015,"Atlanta"
"6/14/15",1.85,4.485,"organic",2015,"Atlanta"
"6/21/15",1.83,5.003,"organic",2015,"Atlanta"
"6/28/15",1.39,6.314,"organic",2015,"Atlanta"
"7/5/15",1.5,5.744,"organic",2015,"Atlanta"
"7/12/15",1.6,5.946,"organic",2015,"Atlanta"
"7/19/15",1.29,7.642,"organic",2015,"Atlanta"
"7/26/15",1.56,7.888,"organic",2015,"Atlanta"
"8/2/15",1.8,5.793,"organic",2015,"Atlanta"
"8/9/15",2.01,5.579,"organic",2015,"Atlanta"
"8/16/15",1.83,6.627,"organic",2015,"Atlanta"
"8/23/15",1.52,10.342,"organic",2015,"Atlanta"
"8/30/15",1.53,9.298,"organic",2015,"Atlanta"
"9/6/15",1.98,6.736,"organic",2015,"Atlanta"
"9/13/15",2,5.892,"organic",2015,"Atlanta"
"9/20/15",2.04,5.705,"organic",2015,"Atlanta"
"9/27/15",2.01,5.393,"organic",2015,"Atlanta"
"10/4/15",1.79,7.423,"organic",2015,"Atlanta"
"10/11/15",1.75,7.28,"organic",2015,"Atlanta"
"10/18/15",1.94,5.658,"organic",2015,"Atlanta"
"10/25/15",1.87,5.477,"organic",2015,"Atlanta"
"11/1/15",1.79,5.445,"organic",2015,"Atlanta"
"11/8/15",1.74,5.318,"organic",2015,"Atlanta"
"11/15/15",1.85,3.888,"organic",2015,"Atlanta"
"11/22/15",1.88,4.016,"organic",2015,"Atlanta"
"11/29/15",1.37,5.206,"organic",2015,"Atlanta"
"12/6/15",1.48,4.4,"organic",2015,"Atlanta"
"12/13/15",1.78,3.611,"organic",2015,"Atlanta"
"12/20/15",1.89,3.974,"organic",2015,"Atlanta"
"12/27/15",1.84,3.195,"organic",2015,"Atlanta"
"1/3/16",1.48,7.953,"organic",2016,"Atlanta"
"1/10/16",1.66,5.614,"organic",2016,"Atlanta"
"1/17/16",1.84,5.227,"organic",2016,"Atlanta"
"1/24/16",1.65,6.194,"organic",2016,"Atlanta"
"1/31/16",1.71,6.592,"organic",2016,"Atlanta"
"2/7/16",1.72,5.421,"organic",2016,"Atlanta"
"2/14/16",1.59,5.737,"organic",2016,"Atlanta"
"2/21/16",1.74,5.258,"organic",2016,"Atlanta"
"2/28/16",1.78,5.07,"organic",2016,"Atlanta"
"3/6/16",1.66,6.619,"organic",2016,"Atlanta"
"3/13/16",1.52,6.968,"organic",2016,"Atlanta"
"3/20/16",1.44,7.436,"organic",2016,"Atlanta"
"3/27/16",1.48,8.927,"organic",2016,"Atlanta"
"4/3/16",1.51,9.284,"organic",2016,"Atlanta"
"4/10/16",1.5,7.131,"organic",2016,"Atlanta"
"4/17/16",1.36,8.352,"organic",2016,"Atlanta"
"4/24/16",1.38,9.859,"organic",2016,"Atlanta"
"5/1/16",1.25,11.05,"organic",2016,"Atlanta"
"5/8/16",1.42,9.663,"organic",2016,"Atlanta"
"5/15/16",1.29,10.861,"organic",2016,"Atlanta"
"5/22/16",1.27,11.405,"organic",2016,"Atlanta"
"5/29/16",1.35,8.849,"organic",2016,"Atlanta"
"6/5/16",1.04,12.827,"organic",2016,"Atlanta"
"6/12/16",0.97,16.463,"organic",2016,"Atlanta"
"6/19/16",0.81,16.578,"organic",2016,"Atlanta"
"6/26/16",0.92,16.159,"organic",2016,"Atlanta"
"7/3/16",0.85,20.324,"organic",2016,"Atlanta"
"7/10/16",1.13,17.311,"organic",2016,"Atlanta"
"7/17/16",1.21,16.805,"organic",2016,"Atlanta"
"7/24/16",1.91,11.62,"organic",2016,"Atlanta"
"7/31/16",1.62,14.463,"organic",2016,"Atlanta"
"8/7/16",1.06,24.308,"organic",2016,"Atlanta"
"8/14/16",1.58,13.049,"organic",2016,"Atlanta"
"8/21/16",1.62,12.433,"organic",2016,"Atlanta"
"8/28/16",1.14,18.482,"organic",2016,"Atlanta"
"9/4/16",1.38,15.107,"organic",2016,"Atlanta"
"9/11/16",1.43,13.017,"organic",2016,"Atlanta"
"9/18/16",1.91,8.231,"organic",2016,"Atlanta"
"9/25/16",2.02,7.915,"organic",2016,"Atlanta"
"10/2/16",2.29,7.057,"organic",2016,"Atlanta"
"10/9/16",1.07,19.265,"organic",2016,"Atlanta"
"10/16/16",1.15,17.664,"organic",2016,"Atlanta"
"10/23/16",1.25,16.791,"organic",2016,"Atlanta"
"10/30/16",2.25,7.568,"organic",2016,"Atlanta"
"11/6/16",1.64,12.411,"organic",2016,"Atlanta"
"11/13/16",1.63,11.118,"organic",2016,"Atlanta"
"11/20/16",1.56,9.756,"organic",2016,"Atlanta"
"11/27/16",1.41,7.754,"organic",2016,"Atlanta"
"12/4/16",1.22,9.99,"organic",2016,"Atlanta"
"12/11/16",1.06,13.254,"organic",2016,"Atlanta"
"12/18/16",1.19,9.421,"organic",2016,"Atlanta"
"12/25/16",1.76,5.456,"organic",2016,"Atlanta"
"1/1/17",1.81,5.343,"organic",2017,"Atlanta"
"1/8/17",1.74,8.244,"organic",2017,"Atlanta"
"1/15/17",1.62,6.291,"organic",2017,"Atlanta"
"1/22/17",1.62,7.485,"organic",2017,"Atlanta"
"1/29/17",1.53,7.331,"organic",2017,"Atlanta"
"2/5/17",1.28,9.685,"organic",2017,"Atlanta"
"2/12/17",1.07,11.073,"organic",2017,"Atlanta"
"2/19/17",1.06,11.867,"organic",2017,"Atlanta"
"2/26/17",0.64,24.323,"organic",2017,"Atlanta"
"3/5/17",0.62,32.292,"organic",2017,"Atlanta"
"3/12/17",0.9,18.563,"organic",2017,"Atlanta"
"3/19/17",1.23,11.754,"organic",2017,"Atlanta"
"3/26/17",1.27,16.209,"organic",2017,"Atlanta"
"4/2/17",1.26,16.943,"organic",2017,"Atlanta"
"4/9/17",0.91,24.439,"organic",2017,"Atlanta"
"4/16/17",1.27,16.411,"organic",2017,"Atlanta"
"4/23/17",1.63,13.269,"organic",2017,"Atlanta"
"4/30/17",1.59,15.042,"organic",2017,"Atlanta"
"5/7/17",1.37,18.23,"organic",2017,"Atlanta"
"5/14/17",1.46,15.467,"organic",2017,"Atlanta"
"5/21/17",1.38,21.858,"organic",2017,"Atlanta"
"5/28/17",1.59,19.502,"organic",2017,"Atlanta"
"6/4/17",1.44,20.445,"organic",2017,"Atlanta"
"6/11/17",1.06,33.969,"organic",2017,"Atlanta"
"6/18/17",1.49,23.486,"organic",2017,"Atlanta"
"6/25/17",1.31,30.581,"organic",2017,"Atlanta"
"7/2/17",1.53,23.108,"organic",2017,"Atlanta"
"7/9/17",1.61,22.123,"organic",2017,"Atlanta"
"7/16/17",1.89,14.396,"organic",2017,"Atlanta"
"7/23/17",1.85,17.588,"organic",2017,"Atlanta"
"7/30/17",1.78,15.501,"organic",2017,"Atlanta"
"8/6/17",1.97,13.999,"organic",2017,"Atlanta"
"8/13/17",2.14,14.534,"organic",2017,"Atlanta"
"8/20/17",2.18,17.338,"organic",2017,"Atlanta"
"8/27/17",2.59,13.91,"organic",2017,"Atlanta"
"9/3/17",2.59,17.991,"organic",2017,"Atlanta"
"9/10/17",2.59,13.956,"organic",2017,"Atlanta"
"9/17/17",2.54,17.292,"organic",2017,"Atlanta"
"9/24/17",2.56,18.912,"organic",2017,"Atlanta"
"10/1/17",2.75,13.558,"organic",2017,"Atlanta"
"10/8/17",2.55,12.276,"organic",2017,"Atlanta"
"10/15/17",2.23,11.405,"organic",2017,"Atlanta"
"10/22/17",2.06,14.352,"organic",2017,"Atlanta"
"10/29/17",2.04,15.731,"organic",2017,"Atlanta"
"11/5/17",1.86,11.588,"organic",2017,"Atlanta"
"11/12/17",1.8,12.116,"organic",2017,"Atlanta"
"11/19/17",1.62,10.394,"organic",2017,"Atlanta"
"11/26/17",1.66,11.835,"organic",2017,"Atlanta"
"12/3/17",1.62,10.609,"organic",2017,"Atlanta"
"12/10/17",1.63,13.301,"organic",2017,"Atlanta"
"12/17/17",1.59,11.548,"organic",2017,"Atlanta"
"12/24/17",1.59,15.311,"organic",2017,"Atlanta"
"12/31/17",1.28,17.218,"organic",2017,"Atlanta"
"1/7/18",1.53,15.714,"organic",2018,"Atlanta"
"1/14/18",1.56,16.152,"organic",2018,"Atlanta"
"1/21/18",1.64,18.555,"organic",2018,"Atlanta"
"1/28/18",1.67,14.446,"organic",2018,"Atlanta"
"2/4/18",1.62,11.9,"organic",2018,"Atlanta"
"2/11/18",1.55,14.844,"organic",2018,"Atlanta"
"2/18/18",1.56,11.166,"organic",2018,"Atlanta"
"2/25/18",1.55,15.348,"organic",2018,"Atlanta"
"3/4/18",1.66,17.082,"organic",2018,"Atlanta"
"3/11/18",1.43,23.043,"organic",2018,"Atlanta"
"3/18/18",1.48,19.015,"organic",2018,"Atlanta"
"3/25/18",1.56,18.717,"organic",2018,"Atlanta"
"1/4/15",1.02,491.738,"conventional",2015,"Boston"
"1/11/15",1.1,437.772,"conventional",2015,"Boston"
"1/18/15",1.23,401.331,"conventional",2015,"Boston"
"1/25/15",1.17,409.344,"conventional",2015,"Boston"
"2/1/15",1.22,490.022,"conventional",2015,"Boston"
"2/8/15",1.04,609.985,"conventional",2015,"Boston"
"2/15/15",1.2,399.884,"conventional",2015,"Boston"
"2/22/15",1.23,355.432,"conventional",2015,"Boston"
"3/1/15",1.11,485.736,"conventional",2015,"Boston"
"3/8/15",1.17,408.404,"conventional",2015,"Boston"
"3/15/15",1.25,417.75,"conventional",2015,"Boston"
"3/22/15",1.18,453.173,"conventional",2015,"Boston"
"3/29/15",1.19,453.631,"conventional",2015,"Boston"
"4/5/15",1.27,449.818,"conventional",2015,"Boston"
"4/12/15",1.26,408.485,"conventional",2015,"Boston"
"4/19/15",1.15,504.62,"conventional",2015,"Boston"
"4/26/15",1.28,465.911,"conventional",2015,"Boston"
"5/3/15",1.17,552.369,"conventional",2015,"Boston"
"5/10/15",1.14,625.558,"conventional",2015,"Boston"
"5/17/15",1.26,534.489,"conventional",2015,"Boston"
"5/24/15",1.14,633.522,"conventional",2015,"Boston"
"5/31/15",1.26,565.161,"conventional",2015,"Boston"
"6/7/15",1.25,562.543,"conventional",2015,"Boston"
"6/14/15",1.08,684.346,"conventional",2015,"Boston"
"6/21/15",1.24,543.505,"conventional",2015,"Boston"
"6/28/15",1.25,560.495,"conventional",2015,"Boston"
"7/5/15",1.27,582.91,"conventional",2015,"Boston"
"7/12/15",1.14,634.516,"conventional",2015,"Boston"
"7/19/15",1.18,597.168,"conventional",2015,"Boston"
"7/26/15",1.28,500.234,"conventional",2015,"Boston"
"8/2/15",1.17,571.994,"conventional",2015,"Boston"
"8/9/15",1.07,690.517,"conventional",2015,"Boston"
"8/16/15",1.15,565.795,"conventional",2015,"Boston"
"8/23/15",1.07,589.471,"conventional",2015,"Boston"
"8/30/15",1.13,526.665,"conventional",2015,"Boston"
"9/6/15",1.11,577.775,"conventional",2015,"Boston"
"9/13/15",1.03,655.683,"conventional",2015,"Boston"
"9/20/15",1.15,498.64,"conventional",2015,"Boston"
"9/27/15",1.07,553.307,"conventional",2015,"Boston"
"10/4/15",1.07,536.479,"conventional",2015,"Boston"
"10/11/15",1.14,485.707,"conventional",2015,"Boston"
"10/18/15",0.94,725.296,"conventional",2015,"Boston"
"10/25/15",1.02,534.249,"conventional",2015,"Boston"
"11/1/15",1.06,553.097,"conventional",2015,"Boston"
"11/8/15",1.04,641.76,"conventional",2015,"Boston"
"11/15/15",1.05,513.739,"conventional",2015,"Boston"
"11/22/15",1.07,466.76,"conventional",2015,"Boston"
"11/29/15",1.19,350.56,"conventional",2015,"Boston"
"12/6/15",1.02,488.679,"conventional",2015,"Boston"
"12/13/15",1.01,549.946,"conventional",2015,"Boston"
"12/20/15",1.07,489.803,"conventional",2015,"Boston"
"12/27/15",1.13,450.816,"conventional",2015,"Boston"
"1/3/16",1.01,610.622,"conventional",2016,"Boston"
"1/10/16",1.15,536.675,"conventional",2016,"Boston"
"1/17/16",1.02,665.218,"conventional",2016,"Boston"
"1/24/16",1.05,670.377,"conventional",2016,"Boston"
"1/31/16",1.03,651.617,"conventional",2016,"Boston"
"2/7/16",1.05,678.81,"conventional",2016,"Boston"
"2/14/16",0.98,751.657,"conventional",2016,"Boston"
"2/21/16",1.14,553.709,"conventional",2016,"Boston"
"2/28/16",1.08,652.943,"conventional",2016,"Boston"
"3/6/16",1.1,600.64,"conventional",2016,"Boston"
"3/13/16",1.05,651.211,"conventional",2016,"Boston"
"3/20/16",1.1,645.235,"conventional",2016,"Boston"
"3/27/16",1.08,639.42,"conventional",2016,"Boston"
"4/3/16",1.11,559.718,"conventional",2016,"Boston"
"4/10/16",0.99,652.547,"conventional",2016,"Boston"
"4/17/16",1.08,617.18,"conventional",2016,"Boston"
"4/24/16",1.07,626.895,"conventional",2016,"Boston"
"5/1/16",1.05,716.003,"conventional",2016,"Boston"
"5/8/16",0.85,924.194,"conventional",2016,"Boston"
"5/15/16",1.06,709.563,"conventional",2016,"Boston"
"5/22/16",1.05,665.086,"conventional",2016,"Boston"
"5/29/16",1.08,673.496,"conventional",2016,"Boston"
"6/5/16",1.26,634.99,"conventional",2016,"Boston"
"6/12/16",1.29,632.856,"conventional",2016,"Boston"
"6/19/16",1.32,649.66,"conventional",2016,"Boston"
"6/26/16",1.33,626.973,"conventional",2016,"Boston"
"7/3/16",1.38,585.485,"conventional",2016,"Boston"
"7/10/16",1.32,549.815,"conventional",2016,"Boston"
"7/17/16",1.56,488.508,"conventional",2016,"Boston"
"7/24/16",1.52,509.095,"conventional",2016,"Boston"
"7/31/16",1.61,508.95,"conventional",2016,"Boston"
"8/7/16",1.48,525.387,"conventional",2016,"Boston"
"8/14/16",1.29,602.605,"conventional",2016,"Boston"
"8/21/16",1.31,586.073,"conventional",2016,"Boston"
"8/28/16",1.37,582.023,"conventional",2016,"Boston"
"9/4/16",1.41,541.671,"conventional",2016,"Boston"
"9/11/16",1.27,672.673,"conventional",2016,"Boston"
"9/18/16",1.45,489.601,"conventional",2016,"Boston"
"9/25/16",1.53,483.057,"conventional",2016,"Boston"
"10/2/16",1.59,459.164,"conventional",2016,"Boston"
"10/9/16",1.49,468.135,"conventional",2016,"Boston"
"10/16/16",1.6,453.605,"conventional",2016,"Boston"
"10/23/16",1.58,439.552,"conventional",2016,"Boston"
"10/30/16",1.67,376.501,"conventional",2016,"Boston"
"11/6/16",1.62,366.175,"conventional",2016,"Boston"
"11/13/16",1.56,397.601,"conventional",2016,"Boston"
"11/20/16",1.39,475.677,"conventional",2016,"Boston"
"11/27/16",1.45,391.257,"conventional",2016,"Boston"
"12/4/16",1.26,473.428,"conventional",2016,"Boston"
"12/11/16",1.22,510.801,"conventional",2016,"Boston"
"12/18/16",1.09,579.577,"conventional",2016,"Boston"
"12/25/16",1.28,447.601,"conventional",2016,"Boston"
"1/1/17",1.29,458.83,"conventional",2017,"Boston"
"1/8/17",1.09,730.358,"conventional",2017,"Boston"
"1/15/17",1.3,577.977,"conventional",2017,"Boston"
"1/22/17",1.26,663.735,"conventional",2017,"Boston"
"1/29/17",1.32,604.106,"conventional",2017,"Boston"
"2/5/17",1.19,772.11,"conventional",2017,"Boston"
"2/12/17",1.12,791.126,"conventional",2017,"Boston"
"2/19/17",1.31,521.125,"conventional",2017,"Boston"
"2/26/17",1.24,599.178,"conventional",2017,"Boston"
"3/5/17",1.3,620.308,"conventional",2017,"Boston"
"3/12/17",1.55,495.118,"conventional",2017,"Boston"
"3/19/17",1.54,540.54,"conventional",2017,"Boston"
"3/26/17",1.51,550.949,"conventional",2017,"Boston"
"4/2/17",1.56,571.902,"conventional",2017,"Boston"
"4/9/17",1.53,629.799,"conventional",2017,"Boston"
"4/16/17",1.61,592.05,"conventional",2017,"Boston"
"4/23/17",1.63,520.793,"conventional",2017,"Boston"
"4/30/17",1.61,603.284,"conventional",2017,"Boston"
"5/7/17",1.49,676.85,"conventional",2017,"Boston"
"5/14/17",1.62,610.348,"conventional",2017,"Boston"
"5/21/17",1.69,572.421,"conventional",2017,"Boston"
"5/28/17",1.73,602.638,"conventional",2017,"Boston"
